Species	rel_abundance_SRR29355722	reads_SRR29355722	rel_abundance_SRR29355723	reads_SRR29355723	rel_abundance_SRR29355724	reads_SRR29355724	rel_abundance_SRR29355725	reads_SRR29355725	rel_abundance_SRR29355726	reads_SRR29355726	rel_abundance_SRR29355727	reads_SRR29355727	rel_abundance_SRR29355728	reads_SRR29355728	rel_abundance_SRR29355729	reads_SRR29355729	rel_abundance_SRR29355730	reads_SRR29355730	rel_abundance_SRR29355731	reads_SRR29355731	rel_abundance_SRR29355732	reads_SRR29355732	rel_abundance_SRR29355733	reads_SRR29355733	rel_abundance_SRR29355734	reads_SRR29355734	rel_abundance_SRR29355735	reads_SRR29355735	rel_abundance_SRR29355736	reads_SRR29355736	rel_abundance_SRR29355737	reads_SRR29355737	rel_abundance_SRR29355738	reads_SRR29355738	rel_abundance_SRR29355739	reads_SRR29355739	rel_abundance_SRR29355740	reads_SRR29355740	rel_abundance_SRR29355741	reads_SRR29355741	rel_abundance_SRR29355742	reads_SRR29355742	rel_abundance_SRR29355743	reads_SRR29355743	rel_abundance_SRR29355744	reads_SRR29355744	rel_abundance_SRR29355745	reads_SRR29355745	rel_abundance_SRR29355746	reads_SRR29355746	rel_abundance_SRR29355747	reads_SRR29355747	rel_abundance_SRR29355748	reads_SRR29355748	rel_abundance_SRR29355749	reads_SRR29355749	rel_abundance_SRR29355750	reads_SRR29355750	rel_abundance_SRR29355751	reads_SRR29355751	rel_abundance_SRR29355752	reads_SRR29355752	rel_abundance_SRR29355753	reads_SRR29355753
'Carbohydrate-selective porin, OprB family',S-layer domain containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2E,6E)-farnesyl diphosphate synthase	0	0	0	0	0	0	0	0	0	0	0	0	0.0114129194247889	3	0.00541858574911948	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0091579284765786	4	0	0	0	0	0	0	0.00749484729248642	2	0	0	0	0	0.00188893086513034	1	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0	0
(2Fe-2S) ferredoxin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188943052563957	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00258665287118469	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188893086513034	1	0	0	0	0	0.0205592105263158	1	0	0	0	0	0	0	0	0
(2Fe-2S)-binding protein	0	0	0	0	0.00292508848392664	1	0.00222905800008916	1	0	0	0	0	0.0114129194247889	3	0.00541858574911948	1	0.00188943052563957	1	0	0	0.00505331244630856	1	0	0	0.0303490136570562	3	0	0	0	0	0.00944180074023718	5	0.00258665287118469	1	0.0091579284765786	4	0.00881264320545209	3	0.00280324054607126	1	0.0273935077386659	2	0	0	0.00339945268811721	2	0	0	0	0	0	0	0	0	0.0205592105263158	1	0	0	0	0	0.0016202728539486	1	0	0
(3R)-hydroxymyristoyl-ACP dehydratase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188836014804744	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(4Fe-4S)-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0.00380430647492962	1	0.00541858574911948	1	0.00188943052563957	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00377672029609487	2	0	0	0.0320527496680251	14	0	0	0.00280324054607126	1	0	0	0	0	0	0	0.00840972163821378	2	0	0	0	0	0.025531045751634	5	0.0411184210526316	2	0	0	0.00478514690400995	1	0.0016202728539486	1	0	0
(Fe-S)-binding protein	0	0	0	0	0	0	0.00891623200035665	4	0	0	0.00792267469497703	1	0.00760861294985924	2	0	0	0.00377886105127914	2	0	0	0	0	0	0	0	0	0	0	0	0	0.00944180074023718	5	0.00517330574236937	2	0.0206053390723018	9	0.00587509547030139	2	0.00560648109214252	2	0	0	0.00374742364624321	1	0.0101983580643516	6	0.00840972163821378	2	0.00377786173026067	2	0.0182263188043535	7	0	0	0	0	0	0	0	0	0.0016202728539486	1	0.00446229361892013	1
(R)-hydratase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228948211914465	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(S)-2,3-epoxysqualene cyclase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101066248926171	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0	0
(S)-ureidoglycine aminohydrolase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045789642382893	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(deoxy)nucleoside triphosphate pyrophosphohydrolase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045789642382893	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(p)ppGpp synthetase	0	0	0	0	0	0	0.00445811600017833	2	0	0	0.0158453493899541	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00566508044414231	3	0	0	0.0045789642382893	2	0	0	0.0140162027303563	5	0.013696753869333	1	0	0	0	0	0	0	0.00188893086513034	1	0.0104150393167734	4	0	0	0	0	0	0	0	0	0.00324054570789721	2	0	0
1, 4-alpha-D-glucan glucanohydrolase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188943052563957	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,2-phenylacetyl-CoA epoxidase subunit A	0	0	0	0	0.00292508848392664	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,2-phenylacetyl-CoA epoxidase subunit B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00566508044414231	3	0	0	0	0	0	0	0	0	0	0	0	0	0.00169972634405861	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00446229361892013	1
1,2-propanediol oxidoreductase	0	0	0	0	0.00292508848392664	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169972634405861	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,3-propanediol dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0.00760861294985924	2	0	0	0.00188943052563957	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00566508044414231	3	0	0	0	0	0	0	0.00280324054607126	1	0.013696753869333	1	0	0	0.00169972634405861	1	0	0	0.00188893086513034	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00446229361892013	1
1,4-alpha-glucan branching enzyme	0.0193610842207164	4	0	0	0.00292508848392664	1	0.00445811600017833	2	0.00106262020891113	1	0	0	0	0	0	0	0.00566829157691872	3	0	0	0	0	0.0167364016736402	1	0	0	0.00755772210255829	2	0.00982994200334218	1	0.00188836014804744	1	0.00775995861355406	3	0.0045789642382893	2	0	0	0.011212962184285	4	0	0	0	0	0.0305950741930549	18	0.00840972163821378	2	0.00566679259539101	3	0.00781127948758007	3	0.0051062091503268	1	0	0	0.0060313630880579	1	0.00957029380801991	2	0.00810136426974303	5	0.00446229361892013	1
1,4-alpha-glucan branching protein	0	0	0	0	0.00292508848392664	1	0	0	0.00106262020891113	1	0	0	0	0	0	0	0.00188943052563957	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00374742364624321	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00478514690400995	1	0	0	0	0
1,4-alpha-glucan-branching enzyme	0	0	0	0	0	0	0	0	0.0031878606267334	3	0	0	0	0	0	0	0	0	0.00517170045510964	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00686844635743395	3	0	0	0	0	0	0	0	0	0.00169972634405861	1	0	0	0	0	0	0	0.0051062091503268	1	0	0	0	0	0	0	0	0	0	0
1,4-alpha-glucan-branching protein	0	0	0	0	0	0	0	0	0.00531310104455567	5	0.0158453493899541	2	0	0	0.00541858574911948	1	0	0	0.134464211832851	52	0	0	0	0	0	0	0	0	0	0	0.00944180074023718	5	0.00517330574236937	2	0	0	0	0	0.00280324054607126	1	0	0	0	0	0.00849863172029303	5	0.00840972163821378	2	0.00188893086513034	1	0.00260375982919336	1	0	0	0	0	0	0	0	0	0.00324054570789721	2	0.00446229361892013	1
1,4-beta-glucanase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228948211914465	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,4-beta-xylanase	0	0	0	0	0	0	0	0	0.00425048083564453	4	0.00792267469497703	1	0.00380430647492962	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00517330574236937	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,4-butanediol diacrylate esterase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188836014804744	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,4-dihydroxy-2-naphthoate polyprenyltransferase	0	0	0	0	0	0	0.00891623200035665	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188836014804744	1	0	0	0.00228948211914465	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,4-dihydroxy-2-naphthoyl-CoA synthase	0	0	0	0	0	0	0.00668717400026749	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101163378856854	1	0	0	0	0	0.00188836014804744	1	0	0	0.0091579284765786	4	0.0029375477351507	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0	0
1,4-dihydroxy-6-naphthoate synthase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228948211914465	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0196598840066844	2	0	0	0.00258665287118469	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0	0
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00541858574911948	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0103466114847387	4	0.00228948211914465	1	0.0029375477351507	1	0.00840972163821378	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00478514690400995	1	0.0016202728539486	1	0	0
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	0.00484027105517909	1	0.00353032549601073	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188836014804744	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00420486081910689	1	0	0	0.00520751965838671	2	0	0	0	0	0.0120627261761158	2	0.00957029380801991	2	0.0016202728539486	1	0	0
1-acyl-sn-glycerol-3-phosphate acyltransferase	0.00968054211035818	2	0.00353032549601073	1	0.00585017696785328	2	0.0178324640007133	8	0.00212524041782227	2	0	0	0.0228258388495777	6	0	0	0.00188943052563957	1	0.00258585022755482	1	0	0	0	0	0	0	0	0	0	0	0.00188836014804744	1	0	0	0.00686844635743395	3	0.0029375477351507	1	0	0	0	0	0	0	0	0	0.00840972163821378	2	0.00944465432565168	5	0.00781127948758007	3	0	0	0.0205592105263158	1	0.0060313630880579	1	0	0	0.00324054570789721	2	0	0
