enzyme	SEED_subsystem	SEED_subsystem_functional_category	description	rel_abundance_SRR29355722	reads_SRR29355722	rel_abundance_SRR29355723	reads_SRR29355723	rel_abundance_SRR29355724	reads_SRR29355724	rel_abundance_SRR29355725	reads_SRR29355725	rel_abundance_SRR29355726	reads_SRR29355726	rel_abundance_SRR29355727	reads_SRR29355727	rel_abundance_SRR29355728	reads_SRR29355728	rel_abundance_SRR29355729	reads_SRR29355729	rel_abundance_SRR29355730	reads_SRR29355730	rel_abundance_SRR29355731	reads_SRR29355731	rel_abundance_SRR29355732	reads_SRR29355732	rel_abundance_SRR29355733	reads_SRR29355733	rel_abundance_SRR29355734	reads_SRR29355734	rel_abundance_SRR29355735	reads_SRR29355735	rel_abundance_SRR29355736	reads_SRR29355736	rel_abundance_SRR29355737	reads_SRR29355737	rel_abundance_SRR29355738	reads_SRR29355738	rel_abundance_SRR29355739	reads_SRR29355739	rel_abundance_SRR29355740	reads_SRR29355740	rel_abundance_SRR29355741	reads_SRR29355741	rel_abundance_SRR29355742	reads_SRR29355742	rel_abundance_SRR29355743	reads_SRR29355743	rel_abundance_SRR29355744	reads_SRR29355744	rel_abundance_SRR29355745	reads_SRR29355745	rel_abundance_SRR29355746	reads_SRR29355746	rel_abundance_SRR29355747	reads_SRR29355747	rel_abundance_SRR29355748	reads_SRR29355748	rel_abundance_SRR29355749	reads_SRR29355749	rel_abundance_SRR29355750	reads_SRR29355750	rel_abundance_SRR29355751	reads_SRR29355751	rel_abundance_SRR29355752	reads_SRR29355752	rel_abundance_SRR29355753	reads_SRR29355753
""	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate	Carbohydrates	Central carbohydrate metabolism	0	0	0	0	0	0	0.0536020583190395	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143103873673822	29	0	0	0.181117354757814	39	0	0	0.0283085633404105	2	0	0	0	0	0	0	0	0	0	0
""	Respiratory_Complex_I	Respiration	Electron donating reactions	0.0093257483913084	2	0	0	0.0208452759393402	4	0	0	0.0886917960088692	8	0	0	0.154222505849819	29	0.0113173381620643	1	0.117671779785669	28	0.389849209268113	106	0.0862217623728229	5	0	0	0.0438981562774363	3	0.00345960906417575	1	0.0209380234505863	1	0	0	0.0138242477305193	3	0.126365563345834	31	0.0268588567079995	6	0	0	0	0	0.0241709368655129	5	0	0	0	0	0	0	0.0418410041841004	9	0	0	0	0	0	0	0.0382283873081754	7	0.15973630831643	63	0.0466293631761258	7
""	ZZ_gjo_need_homes	""	Miscellaneous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0455166135639508	15	0	0	0	0	0	0	0.0381811870878167	11	0	0	0	0	0	0	0.0270434723818538	4	0	0	0	0	0	0	0	0	0.037037037037037	4	0	0	0	0	0	0
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	Fatty_Acid_Biosynthesis_FASII	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	0	0	0	0	0.0469018708635156	9	0.0643224699828473	12	0.0443458980044346	4	0.029708853238265	1	0	0	0	0	0.0084051271275478	2	0	0	0.0172443524745646	1	0	0	0	0	0	0	0	0	0.00606888180852678	2	0.00921616515367955	2	0.0203815424751345	5	0	0	0.0138840680319334	4	0	0	0	0	0.0345423143350605	7	0.00676086809546346	1	0.00464403473737984	1	0.0139470013947001	3	0	0	0.0535188654000535	2	0	0	0	0	0.114097363083164	45	0.0066613375965894	1
(R)-citramalate synthase (EC 2.3.1.182)	Branched-Chain_Amino_Acid_Biosynthesis	Amino Acids and Derivatives	Branched-chain amino acids	0	0	0	0	0	0	0.00536020583190395	1	0	0	0.11883541295306	4	0	0	0	0	0	0	0	0	0	0	0.0281056773468241	1	0	0	0	0	0.104690117252931	5	0	0	0	0	0.0163052339801076	4	0	0	0.0624783061437001	18	0	0	0	0	0.00493461633358006	1	0.0405652085727807	6	0.0417963126364185	9	0.00464900046490005	1	0.0283085633404105	2	0.107037730800107	4	0	0	0	0	0.0050709939148073	2	0	0
(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase	Archaeal_lipids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0424628450106157	3	0	0	0	0	0	0	0	0	0	0
(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)	Glycolate,_glyoxylate_interconversions	Carbohydrates	Central carbohydrate metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0168102542550956	4	0	0	0	0	0	0	0	0	0	0	0	0	0.00303444090426339	1	0	0	0.0122289254850807	3	0.00895295223599982	2	0	0	0	0	0	0	0	0	0	0	0.00464403473737984	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(S)-3-O-geranylgeranylglyceryl phosphate synthase	Archaeal_lipids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042025635637739	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00347101700798334	1	0	0	0	0	0	0	0.0270434723818538	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54)	Methionine_Salvage	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00367782272894447	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	Glycogen_metabolism	Carbohydrates	Polysaccharides	0.0326401193695794	7	0.0126055716626749	2	0.0260565949241753	5	0	0	0.16629711751663	15	0.05941770647653	2	0.0265900872154861	5	0.0113173381620643	1	0.084051271275478	20	0.235380654652446	64	0.448353164338679	26	0.0281056773468241	1	0.0438981562774363	3	0.0069192181283515	2	0.0209380234505863	1	0.0333788499468973	11	0.0138242477305193	3	0.0244578509701614	6	0	0	0.0728913571676501	21	0	0	0.00483418737310258	1	0.113496175672341	23	0.0202826042863904	3	0.0464403473737984	10	0.0604370060437006	13	0.0283085633404105	2	0.0267594327000268	1	0.00925925925925926	1	0.0436895854950576	8	0.0836713995943205	33	0.0066613375965894	1
