enzyme	SEED_subsystem	SEED_subsystem_functional_category	description	SRR29355722	SRR29355723	SRR29355724	SRR29355725	SRR29355726	SRR29355727	SRR29355728	SRR29355729	SRR29355730	SRR29355731	SRR29355732	SRR29355733	SRR29355734	SRR29355735	SRR29355736	SRR29355737	SRR29355738	SRR29355739	SRR29355740	SRR29355741	SRR29355742	SRR29355743	SRR29355744	SRR29355745	SRR29355746	SRR29355747	SRR29355748	SRR29355749	SRR29355750	SRR29355751	SRR29355752	SRR29355753
""	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate	Carbohydrates	Central carbohydrate metabolism	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	39	0	2	0	0	0	0	0
""	Respiratory_Complex_I	Respiration	Electron donating reactions	2	0	4	0	8	0	29	1	28	106	5	0	3	1	1	0	3	31	6	0	0	5	0	0	0	9	0	0	0	7	63	7
""	ZZ_gjo_need_homes	""	Miscellaneous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	11	0	0	0	4	0	0	0	0	4	0	0	0
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	Fatty_Acid_Biosynthesis_FASII	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	0	0	9	12	4	1	0	0	2	0	1	0	0	0	0	2	2	5	0	4	0	0	7	1	1	3	0	2	0	0	45	1
(R)-citramalate synthase (EC 2.3.1.182)	Branched-Chain_Amino_Acid_Biosynthesis	Amino Acids and Derivatives	Branched-chain amino acids	0	0	0	1	0	4	0	0	0	0	0	1	0	0	5	0	0	4	0	18	0	0	1	6	9	1	2	4	0	0	2	0
(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase	Archaeal_lipids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)	Glycolate,_glyoxylate_interconversions	Carbohydrates	Central carbohydrate metabolism	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0
(S)-3-O-geranylgeranylglyceryl phosphate synthase	Archaeal_lipids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54)	Methionine_Salvage	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	Glycogen_metabolism	Carbohydrates	Polysaccharides	7	2	5	0	15	2	5	1	20	64	26	1	3	2	1	11	3	6	0	21	0	1	23	3	10	13	2	1	1	8	33	1
1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	Trehalose_Biosynthesis	Carbohydrates	Di- and oligosaccharides	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,4-alpha-glucan branching enzyme (EC 2.4.1.18)	Cellulosome	Carbohydrates	Polysaccharides	1	2	0	0	0	0	0	0	1	0	0	5	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0
1,4-dihydroxy-2-naphthoate octaprenyltransferase (EC 2.5.1.74)	Menaquinone_and_Phylloquinone_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	Phosphate_metabolism	""	Phosphorus Metabolism	2	1	3	8	2	1	6	0	1	1	0	0	0	0	0	2	0	0	1	1	0	0	0	1	5	3	0	1	1	3	3	0
