species	rel_abundance_SRR29355722	reads_SRR29355722	rel_abundance_SRR29355723	reads_SRR29355723	rel_abundance_SRR29355724	reads_SRR29355724	rel_abundance_SRR29355725	reads_SRR29355725	rel_abundance_SRR29355726	reads_SRR29355726	rel_abundance_SRR29355727	reads_SRR29355727	rel_abundance_SRR29355728	reads_SRR29355728	rel_abundance_SRR29355729	reads_SRR29355729	rel_abundance_SRR29355730	reads_SRR29355730	rel_abundance_SRR29355731	reads_SRR29355731	rel_abundance_SRR29355732	reads_SRR29355732	rel_abundance_SRR29355733	reads_SRR29355733	rel_abundance_SRR29355734	reads_SRR29355734	rel_abundance_SRR29355735	reads_SRR29355735	rel_abundance_SRR29355736	reads_SRR29355736	rel_abundance_SRR29355737	reads_SRR29355737	rel_abundance_SRR29355738	reads_SRR29355738	rel_abundance_SRR29355739	reads_SRR29355739	rel_abundance_SRR29355740	reads_SRR29355740	rel_abundance_SRR29355741	reads_SRR29355741	rel_abundance_SRR29355742	reads_SRR29355742	rel_abundance_SRR29355743	reads_SRR29355743	rel_abundance_SRR29355744	reads_SRR29355744	rel_abundance_SRR29355745	reads_SRR29355745	rel_abundance_SRR29355746	reads_SRR29355746	rel_abundance_SRR29355747	reads_SRR29355747	rel_abundance_SRR29355748	reads_SRR29355748	rel_abundance_SRR29355749	reads_SRR29355749	rel_abundance_SRR29355750	reads_SRR29355750	rel_abundance_SRR29355751	reads_SRR29355751	rel_abundance_SRR29355752	reads_SRR29355752	rel_abundance_SRR29355753	reads_SRR29355753
16SrII Peanut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abiotrophia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188836014804744	1	0	0	0.0045789642382893	2	0	0	0	0	0	0	0	0	0	0	0	0	0.00377786173026067	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abiotrophia defectiva	0	0	0	0	0.00585017696785328	2	0	0	0	0	0	0	0	0	0	0	0	0	0.00258585022755482	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00478514690400995	1	0	0	0	0
Abiotrophia sp.	0	0	0	0	0.00292508848392664	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00775755068266446	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0060313630880579	1	0	0	0	0	0	0
Acaricomes phytoseiuli	0	0	0.0176516274800537	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaryochloris marina	0	0	0	0	0	0	0	0	0.00212524041782227	2	0	0	0	0	0	0	0.00188943052563957	1	0.00517170045510964	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228948211914465	1	0	0	0.00280324054607126	1	0	0	0	0	0.0152975370965275	9	0.0126145824573207	3	0.00188893086513034	1	0.0156225589751601	6	0	0	0.0205592105263158	1	0	0	0	0	0.0243040928092291	15	0	0
Acaryochloris sp.	0	0	0	0	0	0	0	0	0.0212524041782227	20	0	0	0	0	0	0	0.00188943052563957	1	0	0	0.00505331244630856	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00686844635743395	3	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0.00377786173026067	2	0.0104150393167734	4	0	0	0	0	0	0	0	0	0.00324054570789721	2	0.00446229361892013	1
Acetivibrio cellulolyticus	0.00484027105517909	1	0.00353032549601073	1	0.0117003539357066	4	0	0	0.00106262020891113	1	0	0	0.00380430647492962	1	0	0	0.00755772210255829	4	0.0362019031857675	14	0	0	0.0167364016736402	1	0	0	0	0	0	0	0.00188836014804744	1	0	0	0.00228948211914465	1	0	0	0.0140162027303563	5	0	0	0.00749484729248642	2	0.0203967161287033	12	0.00420486081910689	1	0.00377786173026067	2	0.00260375982919336	1	0	0	0	0	0	0	0	0	0.00486081856184582	3	0.00446229361892013	1
Acetivibrio ethanolgignens	0	0	0	0	0	0	0	0	0	0	0	0	0.0152172258997185	4	0	0	0	0	0	0	0.0101066248926171	2	0	0	0	0	0	0	0	0	0.00566508044414231	3	0.00517330574236937	2	0	0	0.0029375477351507	1	0	0	0	0	0	0	0.00509917903217582	3	0.00840972163821378	2	0	0	0.00520751965838671	2	0.0102124183006536	2	0	0	0	0	0	0	0	0	0	0
Acetoanaerobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00755344059218974	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
